date,post_number,ohlc,dollar_volume,weekday,target,symbol
2007-10-17,2.0,599880.0,0.0,2,0.0,sigo
2007-10-18,8.0,599880.0,0.0,3,0.0,sigo
2007-10-19,4.0,599880.0,0.0,4,0.0,sigo
2007-10-22,0.0,599880.0,0.0,0,0.0,sigo
2007-10-23,0.0,599880.0,0.0,1,0.0,sigo
2007-10-24,1.0,599880.0,0.0,2,0.0,sigo
2007-10-25,8.0,599880.0,0.0,3,0.0,sigo
2007-10-26,0.0,599880.0,0.0,4,0.0,sigo
2007-10-29,0.0,599880.0,0.0,0,0.0,sigo
2007-10-30,2.0,599880.0,0.0,1,0.0,sigo
2007-10-31,2.0,599880.0,0.0,2,0.0,sigo
2007-11-01,3.0,599880.0,0.0,3,0.0,sigo
2007-11-02,6.0,599880.0,0.0,4,0.0,sigo
2007-11-05,0.0,599880.0,0.0,0,0.0,sigo
2007-11-06,11.0,599880.0,0.0,1,0.0,sigo
2007-11-07,35.0,500000.0,0.0,2,0.0,sigo
2007-11-08,12.0,217500.0,0.0,3,0.0,sigo
2007-11-09,6.0,87500.0,0.0,4,0.0,sigo
2007-11-12,2.0,75000.0,0.0,0,0.0,sigo
2007-11-13,0.0,63750.0,0.0,1,0.0,sigo
2007-11-14,4.0,60500.0,0.0,2,0.0,sigo
2007-11-15,1.0,53750.0,0.0,3,0.0,sigo
2007-11-16,0.0,61250.0,0.0,4,0.0,sigo
2007-11-19,1.0,47500.0,0.0,0,0.0,sigo
2007-11-20,3.0,36750.0,0.0,1,0.0,sigo
2007-11-21,2.0,33500.0,0.0,2,0.0,sigo
2007-11-22,0.0,33500.0,0.0,3,0.0,sigo
2007-11-23,0.0,40000.0,0.0,4,0.0,sigo
2007-11-26,1.0,46250.0,0.0,0,0.0,sigo
2007-11-27,0.0,34250.0,0.0,1,0.0,sigo
2007-11-28,3.0,47500.0,0.0,2,0.0,sigo
2007-11-29,1.0,50000.0,0.0,3,0.0,sigo
2007-11-30,0.0,60000.0,0.0,4,0.0,sigo
2007-12-03,0.0,45000.0,0.0,0,0.0,sigo
2007-12-04,1.0,35000.0,0.0,1,0.0,sigo
2007-12-05,0.0,32750.0,0.0,2,0.0,sigo
2007-12-06,0.0,32750.0,0.0,3,0.0,sigo
2007-12-07,0.0,34000.0,0.0,4,0.0,sigo
2007-12-10,0.0,34000.0,0.0,0,0.0,sigo
2007-12-11,0.0,34000.0,0.0,1,0.0,sigo
2007-12-12,0.0,34000.0,0.0,2,0.0,sigo
2007-12-13,0.0,31750.0,0.0,3,0.0,sigo
2007-12-14,0.0,23750.0,0.0,4,0.0,sigo
2007-12-17,0.0,22000.0,0.0,0,0.0,sigo
2007-12-18,0.0,40500.0,0.0,1,0.0,sigo
2007-12-19,9.0,31250.0,0.0,2,0.0,sigo
2007-12-20,0.0,22500.0,0.0,3,0.0,sigo
2007-12-21,1.0,17500.0,0.0,4,0.0,sigo
2007-12-24,0.0,15000.0,0.0,0,0.0,sigo
2007-12-25,0.0,15000.0,0.0,1,0.0,sigo
2007-12-26,0.0,15000.0,0.0,2,0.0,sigo
2007-12-27,0.0,15000.0,0.0,3,0.0,sigo
2007-12-28,0.0,12000.0,0.0,4,0.0,sigo
2007-12-31,0.0,12250.0,0.0,0,0.0,sigo
2008-01-01,0.0,12250.0,0.0,1,0.0,sigo
2008-01-02,0.0,12250.0,0.0,2,0.0,sigo
2008-01-03,0.0,10750.0,0.0,3,0.0,sigo
2008-01-04,1.0,11000.0,0.0,4,0.0,sigo
2008-01-07,0.0,11000.0,0.0,0,0.0,sigo
2008-01-08,0.0,11000.0,0.0,1,0.0,sigo
2008-01-09,0.0,11000.0,0.0,2,0.0,sigo
2008-01-10,0.0,10000.0,0.0,3,0.0,sigo
2008-01-11,11.0,10000.0,0.0,4,0.0,sigo
2008-01-14,1.0,10000.0,0.0,0,0.0,sigo
2008-01-15,0.0,10000.0,0.0,1,0.0,sigo
2008-01-16,0.0,10000.0,0.0,2,0.0,sigo
2008-01-17,0.0,9250.0,0.0,3,0.0,sigo
2008-01-18,0.0,9250.0,0.0,4,0.0,sigo
2008-01-21,0.0,9250.0,0.0,0,0.0,sigo
2008-01-22,0.0,9250.0,0.0,1,0.0,sigo
2008-01-23,1.0,8500.0,0.0,2,0.0,sigo
2008-01-24,2.0,7750.0,0.0,3,0.0,sigo
