date,post_number,ohlc,dollar_volume,weekday,target,symbol
2011-03-07,2.0,0.095,0.0,0,0.0,aagc
2011-03-08,1.0,0.095,0.0,1,0.0,aagc
2011-03-09,0.0,0.095,0.0,2,0.0,aagc
2011-03-10,0.0,0.095,0.0,3,0.0,aagc
2011-03-11,0.0,0.095,0.0,4,0.0,aagc
2011-03-14,0.0,0.095,0.0,0,0.0,aagc
2011-03-15,0.0,0.095,0.0,1,0.0,aagc
2011-03-16,0.0,0.095,0.0,2,0.0,aagc
2011-03-17,0.0,0.095,0.0,3,0.0,aagc
2011-03-18,0.0,0.095,0.0,4,0.0,aagc
2011-03-21,0.0,0.095,0.0,0,0.0,aagc
2011-03-22,0.0,0.095,0.0,1,0.0,aagc
2011-03-23,0.0,0.095,0.0,2,0.0,aagc
2011-03-24,0.0,0.095,0.0,3,0.0,aagc
2011-03-25,0.0,0.095,0.0,4,0.0,aagc
2011-03-28,0.0,0.095,0.0,0,0.0,aagc
2011-03-29,0.0,0.095,0.0,1,0.0,aagc
2011-03-30,0.0,0.095,0.0,2,0.0,aagc
2011-03-31,0.0,0.095,0.0,3,0.0,aagc
2011-04-01,0.0,0.095,0.0,4,0.0,aagc
2011-04-04,0.0,0.095,0.0,0,0.0,aagc
2011-04-05,0.0,0.095,0.0,1,0.0,aagc
2011-04-06,0.0,0.095,0.0,2,0.0,aagc
2011-04-07,0.0,0.095,0.0,3,0.0,aagc
2011-04-08,0.0,0.095,0.0,4,0.0,aagc
2011-04-11,0.0,0.095,0.0,0,0.0,aagc
2011-04-12,0.0,0.095,0.0,1,0.0,aagc
2011-04-13,0.0,0.095,0.0,2,0.0,aagc
2011-04-14,0.0,0.095,0.0,3,0.0,aagc
2011-04-15,0.0,0.095,0.0,4,0.0,aagc
2011-04-18,0.0,0.095,0.0,0,0.0,aagc
2011-04-19,0.0,0.095,0.0,1,0.0,aagc
2011-04-20,0.0,0.095,0.0,2,0.0,aagc
2011-04-21,0.0,0.095,0.0,3,0.0,aagc
2011-04-22,0.0,0.095,0.0,4,0.0,aagc
2011-04-25,0.0,0.095,0.0,0,0.0,aagc
2011-04-26,0.0,0.095,0.0,1,0.0,aagc
2011-04-27,0.0,0.095,0.0,2,0.0,aagc
2011-04-28,0.0,0.095,0.0,3,0.0,aagc
2011-04-29,0.0,0.095,0.0,4,0.0,aagc
2011-05-02,0.0,0.095,0.0,0,0.0,aagc
2011-05-03,0.0,0.095,0.0,1,0.0,aagc
2011-05-04,0.0,0.095,0.0,2,0.0,aagc
2011-05-05,0.0,0.095,0.0,3,0.0,aagc
2011-05-06,0.0,0.095,0.0,4,0.0,aagc
2011-05-09,0.0,0.095,0.0,0,0.0,aagc
2011-05-10,0.0,0.095,0.0,1,0.0,aagc
2011-05-11,0.0,0.095,0.0,2,0.0,aagc
2011-05-12,0.0,0.095,0.0,3,0.0,aagc
2011-05-13,0.0,0.095,0.0,4,0.0,aagc
2011-05-16,0.0,0.095,0.0,0,0.0,aagc
2011-05-17,0.0,0.095,0.0,1,0.0,aagc
2011-05-18,0.0,0.36,3600.0,2,0.0,aagc
2011-05-19,0.0,0.36,5400.0,3,0.0,aagc
2011-05-20,0.0,0.36,0.0,4,0.0,aagc
2011-05-23,0.0,0.36249999999999993,28999.999999999996,0,0.0,aagc
2011-05-24,0.0,0.36249999999999993,0.0,1,0.0,aagc
2011-05-25,0.0,0.36249999999999993,0.0,2,0.0,aagc
2011-05-26,0.0,0.36249999999999993,0.0,3,0.0,aagc
2011-05-27,0.0,0.36249999999999993,0.0,4,0.0,aagc
2011-05-30,0.0,0.36249999999999993,0.0,0,0.0,aagc
2011-05-31,0.0,0.45,270.0,1,0.0,aagc
2011-06-01,0.0,0.465,15298.5,2,0.0,aagc
2011-06-02,0.0,0.465,0.0,3,0.0,aagc
2011-06-03,0.0,0.465,0.0,4,0.0,aagc
2011-06-06,0.0,0.465,0.0,0,0.0,aagc
